"","key","X","country","station","pop","stockID","day","month","year","lon","lat","fishno","length_cm","weight_g","age","sex","maturity","folder","picname","picname.1","cal","otolith_area","otolith_length","otolith_width","otolith_perimeter","otolith_roundness","mean_radii","otolith.area","otolith.length","otolith.width","otolith.perimeter","mean.radii","Ws0c1","Ws1c1","Ws1c2","Ws2c1","Ws2c2","Ws2c3","Ws2c4","Ws3c1","Ws3c2","Ws3c3","Ws3c4","Ws3c5","Ws3c6","Ws3c7","Ws3c8","Ws4c1","Ws4c2","Ws4c3","Ws4c4","Ws4c5","Ws4c6","Ws4c7","Ws4c8","Ws4c9","Ws4c10","Ws4c11","Ws4c12","Ws4c13","Ws4c14","Ws4c15","Ws4c16","Ws5c1","Ws5c2","Ws5c3","Ws5c4","Ws5c5","Ws5c6","Ws5c7","Ws5c8","Ws5c9","Ws5c10","Ws5c11","Ws5c12","Ws5c13","Ws5c14","Ws5c15","Ws5c16","Ws5c17","Ws5c18","Ws5c19","Ws5c20","Ws5c21","Ws5c22","Ws5c23","Ws5c24","Ws5c25","Ws5c26","Ws5c27","Ws5c28","Ws5c29","Ws5c30","Ws5c31","Ws5c32","FD1d","FD2a","FD2b","FD2c","FD2d","FD3a","FD3b","FD3c","FD3d","FD4a","FD4b","FD4c","FD4d","FD5a","FD5b","FD5c","FD5d","FD6a","FD6b","FD6c","FD6d","FD7a","FD7b","FD7c","FD7d","FD8a","FD8b","FD8c","FD8d","FD9a","FD9b","FD9c","FD9d","FD10a","FD10b","FD10c","FD10d","FD11a","FD11b","FD11c","FD11d","FD12a","FD12b","FD12c","FD12d"
"1","16LD;16LD_004_L",1,NA,NA,"OI",NA,NA,NA,NA,-35.81166667,-53.97666667,NA,21.2,"91.05","young",NA,NA,"16LD","16LD_004_L","16LD_004_L",189.251,5.070968259,2.768809676,2.515178255,9.746866626,"0.842199158",0.560684234,5.07096825949454,2.7688096760387,2.51517825533286,9.74686662617162,0.560684234085649,-0.50311769783856,-0.40785745313231,-0.916336881109062,-0.163610666328649,-0.367158902515272,-1.19650022469062,0.113562499779812,-0.354398511352013,0.409130798077862,-0.270090307861827,0.0286582008360457,0.422452618163024,0.101475173879067,-0.0642185786709037,-0.22114225815675,-0.163538964705585,0.160585012938636,-0.0553104965189868,0.0540946387954609,-0.071939707342407,0.0341637199370645,-0.0259408337728727,0.0851915059169759,-0.305552624797604,0.524757929416405,0.031957544302008,0.0160013331236358,-0.0329193332985571,-0.0162052044266047,0.00556424861492021,-0.123174801158675,-0.0267266873919118,0.00535242123122158,0.0564678605995518,0.0160169431535595,-0.0429417698799807,0.00222303835702237,-0.00798782886675505,0.00792341625517239,-0.0107679133368058,-0.000462502112187506,0.000983005511311416,0.00489888119279568,0.00206819881945602,0.00245460623368697,-0.000960185819265553,-0.00834902058904391,0.0238983197296269,-0.0729727329998322,0.12294807103501,-0.170838332643902,0.117761873978107,-0.0340581333200998,-0.0139411419811609,0.0155752615914971,-0.0115446683808212,-0.00573823196111668,-0.00540965119450805,0.0162775564215114,-0.00170253694559347,0.0121617035256246,-0.00323034382446015,0.0136015890436213,-0.862911565414714,-0.0128972238178532,-0.038088700079589,0.0543335579666427,-0.0630280815796761,-0.0292097937182645,0.0609168173057716,-0.0509386717184587,0.0184049209863669,0.000100151370909416,-0.00257766316502266,0.0226472090070311,0.0617378054516018,-0.0148306879966842,-0.00550452292011886,-0.0160779122874271,-0.0298961633117788,-0.0322032099698003,0.00162240933173151,-0.0177224779184412,0.00397557257081069,0.00641159915041153,0.0063317225173142,0.0280868114844606,0.00921009153380468,-0.0177435194591715,-0.0113132246564099,-0.00258113268293579,-0.00686882268952552,-0.00546490366336311,0.0175781352547291,-0.00799818023083832,0.0113888145887479,-0.00799143756727138,-0.0046373888330002,0.00372221875529837,-0.00806431990980214,-0.00828491731651596,0.00527868557525781,-0.00675531916791877,-0.00265523769000086,-0.00419691222425003,-0.00849747187276837,0.0015549786448356,0.00150867542155541
"2","16LD;16LD_119_L",2,NA,NA,"OI",NA,NA,NA,NA,-35.72,-53.95333333,NA,24.2,"173.91","young",NA,NA,"16LD","16LD_119_L","16LD_119_L",189.251,7.632188136,3.376468288,2.922045326,11.84506084,"0.852381147",0.561960355,7.63218813634878,3.37646828814643,2.92204532604848,11.8450608400027,0.561960354737452,0.019958532513054,-0.497826227633314,-0.671853796917549,0.278985110952507,-0.16348494485666,-0.73695351565294,-0.312759971842139,-0.264313019821138,0.438453350260079,-0.298215205819452,0.120644197351388,-0.323021272706675,0.530465858559408,-0.181126795924726,-0.0191848080092861,-0.252993354122965,0.0969069635601694,-0.00060088395097657,0.0637233260862615,-0.0852938702994921,0.0418790294806892,-0.00879311787327326,-0.00991647346258624,0.148425443479266,-0.248810280828138,0.13155398721541,-0.193887251964083,0.153590238445582,-0.134915299007937,0.108206290217022,0.013488567619141,-0.00217721453712914,-0.0694416771828555,-0.0204562620136768,0.0540667238596019,0.0146774106202432,0.00353740861679707,-0.00969991339902382,0.0173620053086708,0.0012895116694208,-0.00895612359230326,-0.00327624384821761,0.00214976818619943,0.0034728290590697,-0.00316588045540584,-0.0170616354756227,0.0390659270507441,-0.00747260828481796,-0.0732537017912444,0.104272298109959,0.0284301400097508,-0.0111436715422366,0.00934395864765088,0.0144366608302226,0.00398587396499301,0.00166698376276265,0.0141367914466316,-0.11013836467852,0.0416247109127304,-0.0225917554279382,0.0443337923296488,-0.0717551175039793,0.0332861392195973,-0.888970100526721,0.0209056261289405,-0.04177070398662,0.00115937652295256,-0.016575757101142,-0.0139545228124336,0.0482163734247928,0.0149726659288469,0.00857231753777349,0.0075899451967837,-0.0252644138752596,0.0238523685302756,0.010238489152871,-0.021754639655125,0.0210978385334371,-0.0438660496886535,0.00233029393659566,0.0108240009510502,0.00656600148162554,0.0100625207177823,0.00105447559788501,-0.0118261725490998,-0.0115764492026011,0.00979788381487121,-0.0110855553930654,-0.00557759636279608,0.011024754228187,0.00759773490939514,0.0142094150124183,-0.00221533181655451,0.00461298085306058,0.00830372576760389,-0.00566249144410092,-0.0120948027162425,0.0174653357101271,-0.00888398188213202,-0.0128044753476997,-0.00238863202763334,0.0126574031901045,-0.00606567567126594,0.00228405960034023,-0.00360072551251798,0.00518390184786947,-0.00206454396365614,0.00150563433668069
"3","16LD;16LD_120_L",3,NA,NA,"OI",NA,NA,NA,NA,-35.72,-53.95333333,NA,17.5,"67.8","young",NA,NA,"16LD","16LD_120_L","16LD_120_L",189.251,4.648977392,2.684265869,2.377794569,8.953957344,"0.821516885",0.562043753,4.64897739236702,2.68426586913675,2.3777945691172,8.95395734430233,0.562043752975366,-0.243016064050576,-0.449125351052228,-0.496588717861439,-0.0152128249973037,-0.0318721361258065,-0.901857881324057,-0.428623766783002,-0.228477354420628,0.510880482772006,-0.187547939299327,0.145354316729977,0.0650010002998927,0.388479478776106,0.148320391434144,-0.433194484738204,0.15481181341971,-0.189868290322276,0.093792919275994,0.00372259925008685,-0.0640456924491166,0.0555322417183652,-0.0487289591480398,0.0878501716629815,-0.161830452399987,-0.174377771145556,0.154802674611026,-0.00224001193848,-0.00160712236941494,-0.0224799866683711,0.00122978729720062,0.00236985843275629,0.0393570284980653,-0.0974801158371957,0.118964778846806,-0.0242207417845189,0.00559939953553714,-0.00796294979413381,0.000487922815097006,0.000579233125850305,-0.00431087721824402,-0.00529540932109599,0.00581703250764436,-0.0041696694129053,0.00341311119634829,-0.000219338290474058,0.000280500531478686,0.000708558640693581,0.00185223284205345,-0.118803913587647,0.106334452784919,-0.0307023088860975,-0.00532980407287052,-0.0115333168062071,0.0288611536009559,0.020199064418243,-0.00513342247158487,-0.0191399631549452,0.0161205695517371,-0.0346584835246666,0.0271481821882706,-0.0435250953762345,0.0494641297963626,-0.0284917300622779,-0.89370293187973,-0.000240707023145645,-0.0393767660069679,-0.0142878949469795,-0.0155499479065346,-0.0164839888678012,0.049581552819451,-0.0197889470357515,0.0291324298432061,-0.0118212689961038,-0.0194630016611987,0.0243611072256916,0.0245630282598945,-0.0393740313466542,0.00682021373018642,-0.0343686583321559,-0.00958195338854664,-0.0223261771196752,0.00579247635788045,0.00208418375056164,-0.0022263801799987,-0.0106843422766091,-0.0133291299517095,0.00781619723680173,-0.0276682896177079,-0.0149248303638059,0.00247736635984873,-0.005184408079409,0.000999562417645344,0.0133906968636388,-0.00204830584112563,0.00663400546320604,-0.000640612423693846,-0.00467945530586679,-0.00268270496702316,-0.00568803289077998,-0.00510828840042165,0.00708986530207003,0.00567045331735026,0.00429994560594417,0.00736416827449742,-0.00170292841821025,-0.00417822598671908,-0.00455165452795164,0.000468424844398373
"4","16LD;16LD_121_L",4,NA,NA,"OI",NA,NA,NA,NA,-35.78166667,-53.95166667,NA,21,"90.14","young",NA,NA,"16LD","16LD_121_L","16LD_121_L",189.251,4.69166788,2.472906352,2.420066473,8.894175845,"0.976836862",0.56242102,4.69166788038065,2.47290635188189,2.42006647256818,8.89417584513464,0.562421019957005,-0.354294157890351,-0.199529157327055,0.0130160444996262,0.618984660439212,0.507638339192625,-0.824342062697282,-0.181966790792767,-0.195324645792584,0.00886412808933348,0.00977315365963241,0.116136380746584,-0.112503986514542,0.430375143922028,-0.0456469548186636,0.24185583087074,0.0477119702279567,0.0311864901261041,0.0324581560427027,-0.0277197031319904,0.0325246456039912,0.0234342920603056,0.0477096372875915,0.0388026089729767,0.0879050756005501,-0.322619494212248,0.136686135587749,0.0216225202588222,-0.0506095947500709,-0.0634982400398098,0.00486406000761975,0.013000693069858,-0.00757970284150635,0.0338407488241343,0.0116052554388646,0.0018562394763177,-0.00602208627317779,0.0151453478779052,-0.0302037747850292,0.0245916244153983,-0.00733444512387722,0.00721954186116437,0.00366207728474927,0.0459031995958606,-0.0262156789984086,-0.00366061256766554,-0.03023094887821,0.0545496615779867,-0.0687420455443245,0.0380235429014183,0.028834391555854,0.00582348080411939,0.00248618469320285,-0.00161088919964335,0.00475000111035077,0.0172150495333775,0.0120149752135106,0.00143092725955836,0.0207320868361799,-0.0372517370870975,-0.0139676408634359,-0.0095865532936564,-0.0125922654529488,0.031193042593687,-0.973043196147283,0.0080453748837217,-0.0412056126442081,-0.0252956700924061,-0.0646314530404349,0.00448102286849993,0.0395724800704899,-0.00683448136607073,-0.00199545682499665,0.0273845010847476,-0.0080318132045219,0.0401129743438288,0.0250559497748254,-0.0142170408533739,0.00633625881815171,-0.0181363102578198,-0.00624624903717828,0.00125121835439097,0.0193587137798908,-0.0112997601329245,0.0137213954266762,0.00437803409165578,0.00112197670385259,0.0060197880829258,-0.0131251131819215,-0.0120503561268463,0.00333899573231124,-0.00619175775165771,-0.00560476018768973,0.0108295382820746,0.00480979794263439,0.0031003320167897,0.00592308141952837,-0.000864051939870824,-0.0102270758470881,-0.00285286688721565,-0.0049632663746499,-0.00103573886277685,0.00320787401988827,-7.19527969314852e-05,0.0081183959967591,0.00578321305851187,-0.00261771405888712,0.00796697041871649,-0.00214453592424599
"5","16LD;16LD_124_L",5,NA,NA,"OI",NA,NA,NA,NA,-35.78166667,-53.95166667,NA,23.5,"137.63","young",NA,NA,"16LD","16LD_124_L","16LD_124_L",189.251,6.401144116,3.075280976,2.721253785,10.185942,"0.861783392",0.561380234,6.40114411606829,3.07528097605825,2.72125378465636,10.185942004529,0.561380233567015,-0.416487966996794,-0.687804307899563,-0.912933602292171,0.0294369801106469,-0.822714875512717,-0.824620372670344,0.095807847278431,0.140909629001792,0.0299397400995432,-0.145407713363847,-0.235609738888123,0.314800793255431,-0.0570405836010886,0.0844354716193994,0.0812349478192842,0.0911561948033997,-0.0262687941698743,-0.0724212703668225,0.0825758636286212,-0.0463827353643574,0.0323013248832395,0.0153765400212575,-0.057090656641104,0.128160223781621,-0.144807128691644,-0.267275781336648,0.111158128392559,-0.00730897404948091,-0.0393997673587287,0.0488915766669102,-0.0475788730729533,0.0204655965340671,0.00492598220055507,-0.00238312760576901,-0.00767678446990465,0.0121927275698632,-0.0350726446938255,0.0107046680803457,-0.00409918037441916,-0.000787523215636597,0.0030650030181779,-0.00605262558451542,0.0134412336929814,-0.00488677507770312,0.0116556837091371,-0.00569224175125283,0.0095240130968262,-0.00174865749160906,-0.00419212520538447,-0.0152118407107324,0.0509643875096553,-0.0308420260158102,0.0448032857932603,-0.00585797043888412,0.00112065073764935,0.0371471053750708,-0.0113444206438012,0.00837158337508434,0.0120306231408605,0.0136798473005946,-0.0112395342113661,0.00789977853969642,-0.0346620781949028,-0.867711060824398,0.0169717834522299,-0.020594082882247,0.0363843724683236,-0.0671477002858534,-0.0524214071539146,0.0223168985437216,-0.0193790262028054,0.00795935109211145,0.0233703805484711,-0.00430144817340198,0.00918876835639647,0.0264273811116328,-0.0157077896231334,-0.00908527613117634,-0.0107219892167811,-0.029056691400696,0.00773318414071546,0.00479882805863141,-7.36146219739871e-05,-0.00478625008763797,0.00561244122478867,-0.00679044625338153,0.00509093718855058,0.0035196990634587,0.00734755939165334,-0.00350127944856321,-0.0036006484983211,0.00588069464962457,-0.00449429482198442,-0.00540113651390464,-0.0081265416663321,0.00261768525712818,0.00243617265716411,0.000274927976682704,0.00648375875852211,0.00512371876118159,8.3631707336131e-05,-0.00891231060594484,0.0068520222115346,-0.0104185506653616,-0.000817125595880428,0.000986485711534106,-0.00699816552448671,0.000994194881558965
"6","16LD;16LD_126_L",6,NA,NA,"OI",NA,NA,NA,NA,-35.62166667,-54.04,NA,25.3,"135.03","adult",NA,NA,"16LD","16LD_126_L","16LD_126_L",189.251,7.534675691,3.291924481,2.990737169,11.23839993,"0.885268386",0.562493904,7.53467569070614,3.29192448124448,2.99073716915631,11.2383999336823,0.562493904391385,-0.174397357866029,-0.490897875987255,-0.695930231629003,0.0738832780467532,-0.355860664324081,-0.802126097221444,-0.163304151948353,-0.0448025363745874,0.0355277554741008,-0.0427320864718687,-0.146404496853575,0.110943359404293,0.172242463756209,-0.0336553075437188,-0.258555862937688,0.139641894532336,-0.16621741457653,-0.0582725200093578,0.0453083568503625,-0.0129624959875014,0.00741387073350686,0.0192931607696469,-0.0287873039776572,-0.0253653114162551,0.336471670693531,0.0605713482733596,-0.047563507467276,0.00523639797558664,-0.0387039902063474,0.109905146330683,-0.194187548924724,-0.012752864335645,-0.0124891912717718,0.000951808993152987,-0.015055228776137,0.0347709629886779,-0.046336405152531,0.00290344648202173,-0.00444157526604089,-0.00496739762926564,0.0143419559470148,-0.0121469441933145,0.00225083317985358,0.00320959196170152,-0.00485290644350853,0.00552242764097012,-0.00522270035138573,0.0020536467121631,-0.0641934626266308,0.00275355621257647,-0.00354170189866259,0.0267322212556096,0.00381581394905188,-0.0190117403663828,0.0294985287557223,0.00780386091037039,-0.0110829468052255,0.00056520447670756,-0.0145868124633367,0.00584141534013939,0.023180368150071,-0.0721363845957598,0.0616377326585583,-0.87601251365447,0.00782707920128722,-0.0294512366996421,0.00682919616950579,-0.038548806833339,-0.0226763432515753,0.0326943795557807,-0.0202421580604489,0.0213682326044087,0.0125865940602034,-0.0178033445834767,0.0212750979164336,0.0144519289121259,-0.0241899309763935,-0.00233510900456946,-0.0096530907237459,-0.0146925939201897,-0.00842559330602673,-0.00389768860166303,0.00108195014465382,0.00851322062902162,-0.00935474025898426,-0.005551616658698,0.0111771646833324,0.000266593475470298,-0.0154640760840979,-0.0101515250292828,-0.00519874884224504,-0.00568205133947983,-0.00884120326424143,0.0069722769424216,-0.00339557715900993,0.00288323413485942,-0.00201507931985199,-0.0114775338785239,0.00542102489951457,-0.0147849012819169,-0.00882458996283065,0.00282452454541518,-0.00596047559182269,-0.00308051122161686,0.00891279529635411,-0.000381980692925973,0.0104021146901607,-0.000400200268156644
"7","16LD;16LD_KL_07_2_L",7,NA,NA,"AP",NA,NA,NA,NA,-60.99666667,-63.62666667,NA,13.2,"19.04","age0_1",NA,NA,"16LD","16LD_KL_07_2_L","16LD_KL_07_2_L",153.281,16.04428422,4.605919847,4.364533112,16.35270951,"0.962936643",0.562264348,16.0442842199299,4.60591984655632,4.36453311238836,16.3527095120493,0.562264348013602,-0.312424045831327,-0.32043361714156,-0.591963972020178,-0.0834938290986079,-0.391770997117116,-0.992883010065502,-0.194661203554356,-0.323086579312667,0.426824897037205,-0.110386786529184,-0.0455523006714427,0.0486461933706337,-0.0453965512381551,-0.0494514660858203,0.0154586350366567,0.00143011298104709,-0.0966725864439117,0.0533599231347045,-0.00369920276955471,0.0048729253920249,0.0329942009030399,0.00590177779970268,-0.0269769916793154,0.0749246375339025,0.194279066538976,-0.181834436361886,0.0558072098267853,-0.0197524970194622,-0.0813963140469889,0.0861151614935964,-0.0516229059713247,-0.00950764213216719,0.00481176419433717,0.0226503157171231,-0.0395478878931909,0.0027640332605624,-0.00548338362958167,0.00381588079403354,-0.00341818847520988,0.0015196325914235,0.00256355967298736,0.00206032229143225,0.00230844893196071,-0.00545799794034411,0.00446846259829209,-0.00469775445375603,0.00461184332294936,-0.0195280684304414,0.0583864260588169,-0.160386236744135,0.179636660747223,-0.089884836021407,0.0247532184593076,-0.0170481585762843,0.00906422703847781,-0.0164159230543716,0.00189877332535747,0.0185508536369204,-0.0369758031682723,0.00916272531779898,0.00779414409105441,-0.0201787855872585,0.00928674653769232,-0.919598537700848,0.000151067606489498,-0.0323842275661825,0.0172898841122523,-0.0542931456896736,-0.0335939506919873,0.0512182234620718,-0.0130115104260723,0.018987601005024,0.00563153591434624,-0.00355840835414348,0.0276240363944192,0.0325200696642069,-0.0283970867685209,0.0135509566981559,-0.0159926296240237,-0.0217573789479116,-0.0113529595604546,0.00251203565615063,-0.0187170171956963,-0.00212503421350839,-0.0076568276058677,0.000770212829565192,0.00506511637496309,0.000188590923793604,0.000104539460449423,-0.0122083059336853,0.00451032642564605,-0.00784352274354095,-0.00915452492383987,-0.000616495284354834,-0.00469031174134023,0.00540707036939252,0.00593580423233756,0.0025488494431338,0.0121773267896746,0.00163434601461825,-0.005145460748823,-0.00236915746915042,-0.00161581349322654,-0.00881992663675002,0.000517297997028733,0.00966533716618163,-0.00152093177121873,0.00505149812663779
"8","17LT;17LT_116_L",8,NA,NA,"AP",NA,NA,NA,NA,-60.99666667,-63.62666667,NA,11.3,"31.68","age0_1",NA,NA,"17LT","17LT_116_L","17LT_116_L",189.251,6.386262474,2.906193362,2.663129917,9.853828495,"0.962737458",0.563189421,6.3862624743997,2.90619336225436,2.66312991741127,9.85382849526145,0.563189420931297,-0.0712631139267304,-0.470204141593346,-0.248237879466341,0.416263586570124,0.312995609124405,0.0891017271997034,-0.0260441964568594,-0.160128928249191,0.0633052623175839,-0.235626538500503,0.519561312997657,-0.274017821226274,-0.0544086757677227,-0.0816975831570533,0.366017002901315,-0.0412150802183321,0.0489783940942161,-0.00777292308574473,-0.00358493821865623,0.0200288943944526,-0.0178914602873769,-0.0223909017762633,0.117515330819601,-0.104181964705502,0.0432286322038742,-0.0263079423980807,0.0153067857864352,-0.0119571131667109,0.0013926492739027,-0.0391230371465035,0.0532786355050938,-0.00085599763067563,-0.0130873872040238,0.00685630809636457,-0.00110075127463313,0.00200272126719313,-3.06296400141527e-05,-0.000880295910524075,6.68005473731569e-05,-0.00175889012776896,0.00109413927581558,0.00105447581080095,-0.000986551058797618,-0.00477256573426962,0.00095239323449572,0.000202280570473699,0.0216729464775922,-0.0531873376930935,0.0151545167571123,-0.00936363910476138,0.00401193918315557,-0.00139097991606575,-0.00648807653838785,0.0160301289644299,-0.00674805332403637,0.00937749627059479,-0.00466949701633765,-0.00149161451475468,0.00339811649061861,0.00609291312882857,-0.0020441441630566,0.00527859573688821,-0.0160351564775047,-0.923263856530555,-0.000468470430032086,-0.0165757678823605,-0.0202859767365607,-0.00375161841715112,0.0247089837842966,0.0252434043714449,0.0249824277650356,-0.0214145138824947,-0.00490877029398431,-0.0100129746895086,0.00793809895012064,0.00621112299734327,0.0252419194790642,0.0272896050809404,-0.00188043334035355,0.0102219954989409,-0.00141963291493142,-0.0035818205299211,-0.00160401081829788,-0.00583658096739214,0.0113975336498686,0.015372972231968,-0.00679563879932781,0.00979695952278281,0.00294175550695853,-0.00373242887955687,-0.000472506859069593,-0.000620812465443378,0.0016991182585481,0.00442116080256089,-0.000174693912582021,0.00406544834908084,-0.000218441158418116,-0.0027948695504218,-0.000241398833012871,0.00219685103050465,0.000729829076181732,0.00134344921246396,0.000279972754753374,0.00140740243982343,-0.000690014632482554,-0.00217590228483765,5.41227679259073e-05,-0.00030843292832704
"9","17LT;17LT_118_L",9,NA,NA,"AP",NA,NA,NA,NA,-61.76833333,-62.68333333,NA,16.4,"540","young",NA,NA,"17LT","17LT_118_L","17LT_118_L",189.251,9.456766751,3.42402418,3.328912397,12.28940915,"1.027020589",0.562568577,9.45676675060815,3.42402417952877,3.32891239676409,12.2894091519717,0.562568577328081,-0.284858183647761,0.00966219833390229,-0.276211230285451,-0.239001269730853,-0.551371166621286,-0.994489627943567,-0.099507642996956,-0.249957630239931,0.308883793868327,-0.160932995539993,-0.0178584087754923,0.273284044838792,0.0891109912614768,-0.110128070273035,0.112165757289827,0.00734922855852906,-0.0467258581246236,0.0425213298585921,-0.00379007673332031,-0.00599267697059945,0.0177043310036558,-0.0158097069598967,0.0209335568816156,-0.108415883243269,0.0713637276331861,0.0525593778399997,0.057560075980574,-0.0146901177118449,-0.015851098072094,0.00594171948450938,0.00439280683687553,-0.00513155513392402,-0.000477447739316844,4.22125111212434e-05,-0.0295086247803417,0.00749436657916042,-0.00340110212696613,0.00223420627966878,-0.00159010061985273,0.00186126270300123,-0.00273714392451694,0.00825190725301501,0.0023810790762693,-0.00135844304019272,-0.000614442581547672,0.00313588183791707,-0.00945023415706623,0.0197444752700236,-0.0632761870136538,0.0986119877110629,-0.138299344697008,0.0209440315332823,-0.0116633170528031,0.00395179944087246,0.00322889416081027,-0.00271028064809858,-0.00163679299693269,0.00559016673308856,-6.81206554952833e-05,-0.00398576726837613,0.000407455739221745,-0.00430749000697989,0.00675923504907825,-0.972223772751365,0.00779755186038843,-0.0107165484845398,0.0245602859900343,-0.0530575417247381,-0.0377234401952265,0.040178887352058,-0.0123296733581307,0.0365341513048103,0.011454556703271,0.00576684290373948,0.0217016392135748,0.0310725296046925,-0.0233895307625716,0.00733954742823014,-0.0172013052451709,-0.0371781666686696,-0.0119447759284874,0.00738404209835495,-0.0132544199660956,0.00748176189859408,0.00134840556902053,-0.00303331343456108,0.0100614942746178,-0.00399373941506648,-0.00136960880660019,-0.00626296636065462,-0.00708587301952424,-0.00517401116207576,6.25174751808287e-05,0.00249979113820636,0.00363851613222607,0.00602123382018609,0.00158741167590777,-0.00220787953480029,0.00258302637525605,-0.00629008985100358,-0.000235764777545242,0.00200550194346644,-0.00273380361325135,0.00536714742394043,0.0017526396101995,0.000745749545119716,0.00448057848063503,-0.00210957907037305
"10","17LT;17LT_137_L",10,NA,NA,"AP",NA,NA,NA,NA,-61.76833333,-62.68333333,NA,36.7,"8","adult",NA,NA,"17LT","17LT_137_L","17LT_137_L",189.251,10.12632894,3.867879166,3.651235661,13.69233235,"0.861819573",0.55844876,10.1263289435806,3.86787916576399,3.65123566057775,13.6923323458148,0.558448760032327,-0.19003833141598,-0.638466600213392,-1.26213222977204,-0.472857216680892,-1.12851402299605,-0.0874249014859225,1.08422860395485,-0.390937284753481,-0.02926636411418,0.328277983194226,-0.294828730205833,0.706951971266705,-0.81050448881416,0.215565431039337,0.151204368039622,-0.282971659764657,-0.01385137687041,0.290757398580604,-0.144781673537397,0.022239220534566,-0.0649180837487711,0.0615560023853534,-0.024203754496497,0.0524887951385133,-0.0692715553735971,0.195314710560424,-0.0652281845582344,0.161095129910037,-0.0396201333300657,-0.0275362052027245,0.024790039531513,-0.0115983303420793,0.0251273805525552,0.0141808584634033,-0.0288938616998773,0.0671715280798895,0.0326769688583565,-0.0786389408990261,0.0185014664840926,-0.00450148701876764,-0.00916354984649112,0.0167740862519805,-0.0230185556773196,0.00691453764507544,-0.00220577117126701,-0.00392626678373077,0.0150845852097093,-0.0224702083191948,0.0298363944648774,-0.0398105740039333,0.0593063445058903,-0.00813603229851831,0.0407863729152142,0.0119948055788986,-0.0193678500517351,0.0222253969541556,-0.00327519733810225,0.041414960433323,-0.0234727748888255,-0.0263657250470319,0.0191602674618381,-0.042109239497325,0.00528209502422755,-0.86243490797595,0.0364121877080683,0.0353189332846921,0.0968719670064212,-0.038090563963649,-0.0592628715811469,0.0166904538990441,-0.0519537426665377,-0.0137282419550637,0.0229825587232332,0.0584112681744452,-0.0174974082814213,0.0412550413022052,-0.0142814930452095,0.000441859039110535,0.0333385331896925,-0.0083367695102829,-0.0114584228479924,0.00891132492010956,-0.0170316767340635,0.000831187846021741,-0.00587550718443117,0.00477301669547045,-0.0221960013113321,0.0120103960932251,-0.00148173072784718,0.00762011777765846,0.0079482647507067,0.00013179470946975,0.00176489864480908,-0.00518535778694014,0.0127550718843846,-0.00717836084291566,0.00117939328705303,0.0102383810129772,-0.0060892560884057,0.00255166723616993,-0.00227203056789226,0.00895420238461105,-0.00428851884852253,0.0121201976488235,-0.0068912844563055,0.00645997737427196,-0.00415813678148282,0.00413695329985987
